Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"42 L 5 Star Mini Bar Single Door Refrigerators (HRD-55KS, Black Steel)","₹9,999","13,490",600+ bought in past month,"4.3 out of 5 stars 2,126"
"42 L 5 Star Mini Bar Single Door Refrigerators (HRD-55KS, Black Steel)","₹9,999","13,490",,"4.3 out of 5 stars 2,126"
"165 L 1 Star Direct Cool Single Door Refrigerator Appliance (2023 Model, HED-171RS-P, Red Steel)","₹10,990","14,990",600+ bought in past month,"4.0 out of 5 stars 1,497"
"400L 2 Star Prime Convertible 6-Stage Smart Inverter Frost-Free Double Door Bottom Mount Refrigerator (NR- BK415BQKN, Diamond Black,Jumbo Fresh Vegetable Basket,Net Capacity 357L,2023 Model)","₹54,490","77,490",,5.0 out of 5 stars 2
"184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)","₹11,990","15,400",1K+ bought in past month,"4.1 out of 5 stars 2,755"
240 L Frost Free Triple-Door Refrigerator (FP 263D PROTTON ROY ARCTIC STEEL(N),"₹25,790","35,450",600+ bought in past month,"4.0 out of 5 stars 7,178"
"236 L, 3 Star, Convertible, Digital Inverter, with Display Frost Free Double Door Refrigerator (RT28C3733S8/HL, Silver, Elegant Inox, 2023 Model)","₹26,290","40,990",400+ bought in past month,"4.3 out of 5 stars 3,729"
"242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)","₹25,990","37,099",,"4.2 out of 5 stars 3,265"
"165 L 1 Star Direct Cool Single Door Refrigerator Appliance (2023 Model, HED-171RS-P, Red Steel)","₹10,990","14,990",600+ bought in past month,"4.0 out of 5 stars 1,497"
"236 L, 3 Star, Digital Inverter, Frost Free Double Door Refrigerator (RT28C3053S8/HL, Silver, Elegant Inox, 2023 Model)","₹25,290","37,990",500+ bought in past month,"4.3 out of 5 stars 5,700"
"192 L 3 Star Vitamagic Pro Inverter Direct-Cool Single Door Refrigerator (215 VITAMAGIC PRO PRM 3S INV MAGNUM STEEL-Z, Grey, Auto Defrost Technology, 2023 Model)","₹15,590","17,600",700+ bought in past month,"4.0 out of 5 stars 2,749"
"183 L, 3 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20C1723S8/HL, Silver, Elegant Inox, 2023 Model)","₹14,690","18,999",300+ bought in past month,"4.2 out of 5 stars 2,449"
"325 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (2023 Model, HEB-333DS-P, Dazzle Steel, Convertible)","₹34,990","50,990",300+ bought in past month,4.2 out of 5 stars 260
"280 L Double Door 3 Star AI Enabled Inverter Technology Frost Free Refrigerator (NR-TH292CVHN, Electric Grey, Jumbo Fresh Vegetable Basket,2023 Model, Net Capacity 256L)","₹27,790","35,500",,3.9 out of 5 stars 84
