Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"1.5 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,High Density Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI18ER3R32F0,White)","₹33,990","67,790",600+ bought in past month,"4.0 out of 5 stars 2,085"
"1.5 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,High Density Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI18ER3R32F0,White)","₹33,990","67,790",600+ bought in past month,"4.0 out of 5 stars 2,085"
"1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 Model, MTKL50U, White)","₹36,990","58,400",600+ bought in past month,"4.0 out of 5 stars 1,454"
"1.5 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS18I3FWAGC)","₹32,990","58,990",500+ bought in past month,"4.2 out of 5 stars 5,561"
"1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, CS/CU-NU18YKY5W,2023 Model, White)","₹42,990","63,400",500+ bought in past month,"4.2 out of 5 stars 4,881"
"1.5 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 Filter, Auto Cleanser, 2023 Model,ESTER Exi -CAI18ES5R33F0 ,White)","₹40,990","76,090",300+ bought in past month,"4.0 out of 5 stars 1,531"
"1.5 Ton 3 Star, 5-in-1 Convertible Cooling, Inverter Split AC (Copper, Heavy-Duty Cooling at 52 Deg Celcius, 2023 Model, AC 1.5T EI 18TINV3R32 WWD, White)","₹30,990","45,400",,4.0 out of 5 stars 568
"1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS18I5FWBEV)","₹39,990","67,990",200+ bought in past month,"4.3 out of 5 stars 1,154"
"1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM 0.1 Air Purification Filter, CS/CU-SU18YKYWT,2023 Model, White)","₹34,990","55,400",400+ bought in past month,"4.2 out of 5 stars 3,174"
"0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White)","₹24,990","37,400",300+ bought in past month,"4.1 out of 5 stars 2,547"
"1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI12ER3R33F0,White)","₹29,990","56,990",200+ bought in past month,3.9 out of 5 stars 769
"1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)","₹45,490","67,200",200+ bought in past month,"4.1 out of 5 stars 1,792"
"1.5 Ton 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 185V Vectra Elegant,White)","₹37,990","75,990",,"3.9 out of 5 stars 1,384"
"1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)","₹30,990","70,990",100+ bought in past month,"3.8 out of 5 stars 2,933"
"1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split Air Conditioner (IC518YNU, White)","₹43,980","73,000",100+ bought in past month,3.8 out of 5 stars 643
"1 Ton 3 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Dust Filters, Smart Ready, Blue Fins, Self Diagnosis, 2023Model, IC312YNU,White)","₹31,990","51,500",100+ bought in past month,"4.1 out of 5 stars 3,358"
"1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, White)","₹28,990","56,990",200+ bought in past month,3.7 out of 5 stars 331
"1.5 Ton 5 Star VIRAAT, DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, 2023 Model, RS-Q19BNZE, White)","₹43,490","85,990",100+ bought in past month,"4.1 out of 5 stars 1,585"
"1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & HD Filter with Anti Virus Protection, 2023 Model, RS-H19VNXE, White)","₹39,990","79,990",100+ bought in past month,4.0 out of 5 stars 951
"1.2 Ton 5 Star Inverter Split AC (5 in 1 Convertible, 100% Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Graphic Design, GLS15I5FWGEV)","₹34,990","59,990",100+ bought in past month,4.2 out of 5 stars 659
"1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, CS/CU-NU12YKY4W,2023 Model, White)","₹33,990","50,600",100+ bought in past month,4.2 out of 5 stars 62
"1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with AI, 4 Way Swing, PM Filter, CS/CU-NU12YKY5W,2023 Model, White)","₹37,490","54,600",100+ bought in past month,"4.2 out of 5 stars 1,680"
"1.5 Ton 5 Star DUAL Inverter Window AC (Copper, Convertible 4-in-1 cooling, RW-Q18WUZA, 2023 Model, HD Filter with Anti-Virus Protection, White)","₹35,490","65,990",100+ bought in past month,"4.2 out of 5 stars 1,964"
"1.0 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS12I3FWAEV/WAEA)","₹29,490","49,990",100+ bought in past month,4.1 out of 5 stars 816
"1.5 Ton 3 Star Inverter Split AC (Copper, Smart Ready, 5 in 1 Convertible, Turbo Cool, ID318YKU, 2023 Model, White)","₹35,990","61,250",100+ bought in past month,"3.8 out of 5 stars 1,318"
"1 Ton 4 Star AI DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, HD Filter with Anti Virus Protection, 2023 Model, RS-Q13JNYE, White)","₹34,990","61,990",200+ bought in past month,4.2 out of 5 stars 907
"1 Ton 4 Star AI DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, HD Filter with Anti Virus Protection, 2023 Model, RS-Q13JNYE, White)","₹34,990","61,990",200+ bought in past month,4.2 out of 5 stars 907
"1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, 2023 Model, MTKL35UV16, White)","₹31,990","48,200",100+ bought in past month,3.9 out of 5 stars 703
"1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W183, White)","₹27,990","52,900",100+ bought in past month,4.1 out of 5 stars 352
"1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W123, White)","₹25,490","44,900",100+ bought in past month,4.1 out of 5 stars 263
