Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"₹12,990","18,900",5K+ bought in past month,"4.2 out of 5 stars 12,813"
80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),"₹12,990","18,900",5K+ bought in past month,"4.2 out of 5 stars 12,813"
MI 80 cm (32 inches) A Series HD Ready Smart Google TV L32M8-5AIN (Black),"₹11,990","24,999",4K+ bought in past month,"4.2 out of 5 stars 97,094"
80.04 cm (32 inches) Bezel-Less S Series HD Ready Smart Android LED TV iFF32S53 (Black),"₹7,990","19,990",4K+ bought in past month,"4.1 out of 5 stars 3,316"
80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32R8-FVIN (Black),"₹10,999","24,999",5K+ bought in past month,"4.2 out of 5 stars 59,530"
100 cm (40 inches) Advanced I Series Full HD Smart LED Google TV AR40GR2841FDFL (Black),"₹15,999","29,999",2K+ bought in past month,"4.1 out of 5 stars 4,870"
80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"₹14,990","22,900",2K+ bought in past month,"4.2 out of 5 stars 12,813"
108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"₹23,999","39,999",,"4.1 out of 5 stars 12,805"
80 cm (32 inches) Advanced I Series HD Ready Smart LED Google TV AR32GR2841HDFL (Black),"₹10,499","20,999",2K+ bought in past month,"4.1 out of 5 stars 4,870"
108 cm (43 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA43CUE70AKLXL (Titan Gray),"₹29,990","54,900",1K+ bought in past month,"4.2 out of 5 stars 11,044"
108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),"₹22,999","42,999",1K+ bought in past month,"4.2 out of 5 stars 59,530"
