Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash, ZPF Technology)","₹14,850","18,950",1K+ bought in past month,"4.1 out of 5 stars 12,621"
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash, ZPF Technology)","₹14,850","18,950",1K+ bought in past month,"4.1 out of 5 stars 12,621"
White Westinghouse 7 kg Fully Automatic Top Loading Washing Machine (HDT7000S/GREY/2023),"₹10,999","16,999",,
"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6 GENX, Grey, ZPF Technology)","₹13,490","17,600",1K+ bought in past month,"4.2 out of 5 stars 6,090"
"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Diamond drum)","₹15,990","21,000",3K+ bought in past month,"4.4 out of 5 stars 27,537"
"Samsung 7 kg, 5 star, Eco Bubble Technology, Digital Inverter, Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA70BG4441YYTL, Lavender Gray)","₹17,990","22,500",,"4.2 out of 5 stars 5,289"
"LG 7 Kg 5 Star Wind Jet Dry Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Rat Away Feature)","₹11,490","16,090",2K+ bought in past month,"4.3 out of 5 stars 4,798"
"LG 8 Kg 5 Star Inverter TurboDrum Fully Automatic Top Loading Washing Machine (T80SKSF1Z, Waterfall Circulation, Digital Display, Middle Free Silver)","₹18,990","29,990",,"4.2 out of 5 stars 16,348"
"Samsung 8 kg, 5 star, Eco Bubble Technology, Digital Inverter, Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)","₹19,490","27,000",1K+ bought in past month,"4.3 out of 5 stars 15,751"
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash, ZPF Technology)","₹14,850","18,950",1K+ bought in past month,"4.1 out of 5 stars 12,621"
"Whirlpool 7.5 Kg 5 Star Stainwash Pro Fully Automatic Top Load Washing Machine (Stainwash Pro H 7.5, Kg 5 Star with In-Built Heater), Grey","₹17,890","25,750",1K+ bought in past month,"4.1 out of 5 stars 6,616"
"LG 7 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1207SDM, Middle Black, Steam for Hygiene Wash)","₹28,990","43,990",1K+ bought in past month,"4.3 out of 5 stars 4,487"
"Godrej 6.5 Kg 5 Star I-Wash Technology for Automatic One Touch Wash Fully-Automatic Top Load Washing Machine (2023 Model, WTEON 650 AP 5.0 GPGR, Graphite Grey, With Toughened Glass Lid)","₹12,990","17,900",1K+ bought in past month,"4.1 out of 5 stars 3,935"
White Westinghouse 8.5 kg Fully Automatic Top Loading Washing Machine (HDT8500S/GREY/2023),"₹12,999","18,999",,
"Whirlpool 7.5 Kg 5 Star Stainwash Pro Fully Automatic Top Load Washing Machine (Stainwash Pro H 7.5, Kg 5 Star with In-Built Heater), Grey","₹17,890","25,750",1K+ bought in past month,"4.1 out of 5 stars 6,616"
"Acer 7.0 Kg Quad Wash Series Fully-Automatic Top Load Washing Machine (AiSense, HelixFlow Pulsator, Pro-Foam Tub, 5 Star Energy Rating, CareTec Wash, AR70FATLP1EC, 2023 Model, Grey)","₹13,499","31,999",,4.3 out of 5 stars 38
"Bosch 7 kg 5 Star Fully-Automatic Front Loading Washing Machine (WAJ2416SIN, Silver, AI active water plus, In-Built Heater)","₹30,490","48,590",600+ bought in past month,"4.4 out of 5 stars 3,063"
"Bosch 8 kg 5 Star Fully-Automatic Front Loading Washing Machine (WAJ28262IN, Silver, AI active water plus, In-Built Heater)","₹34,990","58,490",,"4.4 out of 5 stars 2,631"
"IFB 6 Kg 5 Star AI Powered Fully Automatic Front Load Washing Machine 2X Power Steam (DIVA AQUA GBS 6010, 2023 Model, Grey, In-built Heater, 4 years Comprehensive Warranty)","₹23,490","29,990",600+ bought in past month,"4.0 out of 5 stars 2,772"
"Samsung 8 kg, AI Control, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic Front Load Washing Machine (WW80T504DAX1TL, Inox)","₹36,990","55,900",200+ bought in past month,
"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6 GENX, Grey, ZPF Technology)","₹13,490","17,600",1K+ bought in past month,"4.2 out of 5 stars 6,090"
"Whirlpool 7.5 Kg 5 Star Ace Supreme Semi-Automatic Top Loading Washing Machine (ACE 7.5 SUPREME, Grey Dazzle, Fast Drying)","₹10,770","14,400",700+ bought in past month,"4.3 out of 5 stars 5,336"
"Samsung 7 kg, 5 star, Semi-Automatic Washing Machine (WT70M3000UU/TL, Air Turbo Drying, LIGHT GRAY)","₹11,190","13,500",600+ bought in past month,"4.3 out of 5 stars 6,185"
"Samsung 8 kg, 5 Star, Digital Inverter, Motor, Fully-Automatic Front Load Washing Machine (WW80T4040CE1TL, Hygiene Steam, White)","₹32,990","45,000",400+ bought in past month,"4.4 out of 5 stars 1,595"
"Godrej 7 Kg 5 Star I-Wash Technology Fully Automatic Top Load Washing Machine (WTEON 700 5.0 AP GPGR, Graphite Grey, With Toughened Glass Lid)","₹13,990","19,890",500+ bought in past month,"4.1 out of 5 stars 1,592"
"IFB 7 Kg 5 Star AI Powered Front Load Washing Machine 2X Power Steam (DIVA AQUA MSS 7010, 2023 Model, Metallic Silver, In-built Heater, 4 years Comprehensive Warranty)","₹28,990","34,690",300+ bought in past month,3.9 out of 5 stars 825
"IFB 8 Kg 5 Star AI Powered Fully Automatic Front Load Washing Machine, 2X Power Steam (SENATOR NEO MXS 8012, 2023 Model, Mocha, In-built Heater, 4 years Comprehensive Warranty)","₹35,980","48,990",300+ bought in past month,4.1 out of 5 stars 315
"Samsung 6 kg, 5 star, Digital Inverter Motor, Fully-Automatic Front Load Washing Machine (WW60R20GLMA/TL, Hygiene Steam, DA WHITE)","₹23,490","26,900",600+ bought in past month,"4.4 out of 5 stars 8,141"
