Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"1.5 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,High Density Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI18ER3R32F0,White)",33990.0,67790.0,600,"4.0 out of 5 stars 2,085",4.0,2085,Whirlpool,49.86
"1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 Model, MTKL50U, White)",36990.0,58400.0,600,"4.0 out of 5 stars 1,454",4.0,1454,Voltas,36.66
"1.5 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS18I3FWAGC)",32990.0,58990.0,500,"4.2 out of 5 stars 5,561",4.2,5561,LG,44.08
"1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, CS/CU-NU18YKY5W,2023 Model, White)",42990.0,63400.0,500,"4.2 out of 5 stars 4,881",4.2,4881,Whirlpool,32.19
"1.5 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 Filter, Auto Cleanser, 2023 Model,ESTER Exi -CAI18ES5R33F0 ,White)",40990.0,76090.0,300,"4.0 out of 5 stars 1,531",4.0,1531,Haier,46.13
"1.5 Ton 3 Star, 5-in-1 Convertible Cooling, Inverter Split AC (Copper, Heavy-Duty Cooling at 52 Deg Celcius, 2023 Model, AC 1.5T EI 18TINV3R32 WWD, White)",30990.0,45400.0,100,4.0 out of 5 stars 568,4.0,568,Whirlpool,31.74
"1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS18I5FWBEV)",39990.0,67990.0,200,"4.3 out of 5 stars 1,154",4.3,1154,Whirlpool,41.18
"1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM 0.1 Air Purification Filter, CS/CU-SU18YKYWT,2023 Model, White)",34990.0,55400.0,400,"4.2 out of 5 stars 3,174",4.2,3174,Haier,36.84
"0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White)",24990.0,37400.0,300,"4.1 out of 5 stars 2,547",4.1,2547,LG,33.18
"1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 Filter, Auto Cleanser, 2023 Model,ESTER Exi - CAI12ER3R33F0,White)",29990.0,56990.0,200,3.9 out of 5 stars 769,3.9,769,Samsung,47.38
"1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)",45490.0,67200.0,200,"4.1 out of 5 stars 1,792",4.1,1792,Panasonic,32.31
"1.5 Ton 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 185V Vectra Elegant,White)",37990.0,75990.0,100,"3.9 out of 5 stars 1,384",3.9,1384,Samsung,50.01
"1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",30990.0,70990.0,100,"3.8 out of 5 stars 2,933",3.8,2933,Samsung,56.35
"1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split Air Conditioner (IC518YNU, White)",43980.0,73000.0,100,3.8 out of 5 stars 643,3.8,643,Haier,39.75
"1 Ton 3 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Dust Filters, Smart Ready, Blue Fins, Self Diagnosis, 2023Model, IC312YNU,White)",31990.0,51500.0,100,"4.1 out of 5 stars 3,358",4.1,3358,LG,37.88
"1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, White)",28990.0,56990.0,200,3.7 out of 5 stars 331,3.7,331,Panasonic,49.13
"1.5 Ton 5 Star VIRAAT, DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, 2023 Model, RS-Q19BNZE, White)",43490.0,85990.0,100,"4.1 out of 5 stars 1,585",4.1,1585,Haier,49.42
"1.5 Ton 3 Star Hot & Cold DUAL Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, 4 Way Swing & HD Filter with Anti Virus Protection, 2023 Model, RS-H19VNXE, White)",39990.0,79990.0,100,4.0 out of 5 stars 951,4.0,951,Voltas,50.01
"1.2 Ton 5 Star Inverter Split AC (5 in 1 Convertible, 100% Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Graphic Design, GLS15I5FWGEV)",34990.0,59990.0,100,4.2 out of 5 stars 659,4.2,659,Voltas,41.67
"1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way Swing, PM 0.1 Air Purification Filter, CS/CU-NU12YKY4W,2023 Model, White)",33990.0,50600.0,100,4.2 out of 5 stars 62,4.2,62,Voltas,32.83
"1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with AI, 4 Way Swing, PM Filter, CS/CU-NU12YKY5W,2023 Model, White)",37490.0,54600.0,100,"4.2 out of 5 stars 1,680",4.2,1680,Panasonic,31.34
"1.5 Ton 5 Star DUAL Inverter Window AC (Copper, Convertible 4-in-1 cooling, RW-Q18WUZA, 2023 Model, HD Filter with Anti-Virus Protection, White)",35490.0,65990.0,100,"4.2 out of 5 stars 1,964",4.2,1964,Samsung,46.22
"1.0 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, 2023 Model, White with Chrome Deco Strip, GLS12I3FWAEV/WAEA)",29490.0,49990.0,100,4.1 out of 5 stars 816,4.1,816,LG,41.01
"1.5 Ton 3 Star Inverter Split AC (Copper, Smart Ready, 5 in 1 Convertible, Turbo Cool, ID318YKU, 2023 Model, White)",35990.0,61250.0,100,"3.8 out of 5 stars 1,318",3.8,1318,Whirlpool,41.24
"1 Ton 4 Star AI DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 Cooling, HD Filter with Anti Virus Protection, 2023 Model, RS-Q13JNYE, White)",34990.0,61990.0,200,4.2 out of 5 stars 907,4.2,907,Samsung,43.56
"1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, 2023 Model, MTKL35UV16, White)",31990.0,48200.0,100,3.9 out of 5 stars 703,3.9,703,LG,33.63
"1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W183, White)",27990.0,52900.0,100,4.1 out of 5 stars 352,4.1,352,Samsung,47.09
"1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2023 Model, CWCVBH-VQ1W123, White)",25490.0,44900.0,100,4.1 out of 5 stars 263,4.1,263,Panasonic,43.23
"1 Ton 3 Star, 5-In-1 Convertible Cooling, Inverter Split AC (Copper, I-Sense Technology, 2023 Model, AC 1T EI 12TINV3R32-GWA Split, White)",28990.0,42900.0,100,3.8 out of 5 stars 903,3.8,903,Haier,32.42
"1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Model AR18CYLZABE White)",33999.0,60990.0,100,4.0 out of 5 stars 578,4.0,578,Samsung,44.25
"1.5 Ton 4 Star Fixed Speed Window AC (Copper, 2023 Model, White with Golden Deco Strip, GLW18C4YWGEW)",28490.0,50990.0,50,4.3 out of 5 stars 425,4.3,425,Panasonic,44.13
"1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Control, 2023 Model,Estra DX -CAW18SC3R32F0,White)",26990.0,45090.0,50,4.2 out of 5 stars 428,4.2,428,LG,40.14
