Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings,Numeric_Ratings,Total Ratings,Brand,Offer%
"IdeaCentre AIO 3 12th Gen Intel i3 23.8"" FHD WVA 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse) F0GH00MJIN",45990.0,55490.0,500,4.2 out of 5 stars 37,4.2,37,HP,17.12
"IdeaCentre AIO 3 12th Gen Intel i3 23.8"" FHD WVA 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse) F0GH00MJIN",45990.0,55490.0,50,4.2 out of 5 stars 37,4.2,37,Lenovo,17.12
Android 10 4GB RAM 32GB ROM Dual WiFi 2.4/5 Ghz BT 5 AMLOGIC S905W2 4K Experience Bluetooth Android Mini PC Box,4499.0,5999.0,50,4.2 out of 5 stars 37,4.2,37,Dell,25.0
Android 10 2GB RAM 16GB ROMl WiFi 2.4Ghz H616 4K Android Mini PC Box,2699.0,3499.0,50,3.1 out of 5 stars 6,3.1,6,HP,22.86
"(Refurbished) Dell Optiplex Business Class Performance Desktop (Core I5 3470 3.2 Ghz, 8 GB RAM, 500 GB HDD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black",6499.0,89999.0,500,3.5 out of 5 stars 800,3.5,800,HP,92.78
"(Refurbished) Dell Optiplex 7040 Mini PC (Intel Core i5 6th gen, 16 GB DDR4 RAM, 512 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB, Ethernet,DP), Black",11830.0,49999.0,500,3.6 out of 5 stars 212,3.6,212,Apple,76.34
"(Refurbished) Dell Optiplex High Performance Desktop Computer (Intel Core i5 3470/ 16 GB RAM/ 1 TB HDD + 256 GB SSD/ Windows 10 Pro/ MS Office/ Intel HD Graphics/ USB/ Ethernet/WiFi), Black",10899.0,76000.0,100,4.0 out of 5 stars 183,4.0,183,Acer,85.66
"(Renewed) Lenovo ThinkCentre M92p Desktop (Core i5-2400/8 GB/500 GB HDD/Windows/MS Office/Intel HD Graphics 2000), Black",5358.0,78000.0,200,"3.5 out of 5 stars 1,178",3.5,1178,Acer,93.13
"(Refurbished) Lenovo ThinkCentre M93P Mini PC (Intel Core i5 4th gen, 8 GB RAM, 256 GB SSD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black",7499.0,69999.0,50,3.9 out of 5 stars 301,3.9,301,Asus,89.29
"All-in-One PC Intel Pentium J5040 21.5-inch(54.6 cm) FHD Three-Sided Micro-Edge Display(8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Wired Keyboard and Mouse Combo/MS Office)22-dd2686in, White",30990.0,42152.0,200,4.1 out of 5 stars 69,4.1,69,Lenovo,26.48
(Refurbished) Lenovo Thinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|8 Gb Ddr4 Ram|512 Gb Ssd|Wifi|Windows 11|Ms Office)Black,10349.0,29999.0,200,3.8 out of 5 stars 715,3.8,715,HP,65.5
"(Refurbished) Lenovo ThinkCentre M92p Desktop Mini PC (Intel Core i5 3rd Gen, 8 GB RAM, 256 GB SSD, WiFi, Windows 10 Pro, MS Office, Intel HD Graphics, USB, DP)",6980.0,89999.0,200,4.1 out of 5 stars 54,4.1,54,Dell,92.24
"Lenovo (Renewed) Thinkcentre M700 Desktop Mini Pc (Intel Core I3 6Th Gen,8 Gb Ddr4 Ram,256 Gb Ssd,Wifi,Windows 11,Ms Office,Intel Hd Graphics,Usb,Dp)Black",8039.0,79999.0,100,3.8 out of 5 stars 360,3.8,360,Lenovo,89.95
AUSEK® Android 10 Dual WiFi 2.4/5 Ghz H616 4K 4GB Ram 32GB ROM Android Mini PC Box,3399.0,4499.0,50,4.2 out of 5 stars 37,4.2,37,Acer,24.45
