Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"IdeaCentre AIO 3 12th Gen Intel i3 23.8"" FHD WVA 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse) F0GH00MJIN","₹45,990","55,490",500+ bought in past month,4.2 out of 5 stars 37
"IdeaCentre AIO 3 12th Gen Intel i3 23.8"" FHD WVA 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse) F0GH00MJIN","₹45,990","55,490",,4.2 out of 5 stars 37
Android 10 4GB RAM 32GB ROM Dual WiFi 2.4/5 Ghz BT 5 AMLOGIC S905W2 4K Experience Bluetooth Android Mini PC Box,"₹4,499","5,999",,
Android 10 2GB RAM 16GB ROMl WiFi 2.4Ghz H616 4K Android Mini PC Box,"₹2,699","3,499",,3.1 out of 5 stars 6
"(Refurbished) Dell Optiplex Business Class Performance Desktop (Core I5 3470 3.2 Ghz, 8 GB RAM, 500 GB HDD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black","₹6,499","89,999",500+ bought in past month,3.5 out of 5 stars 800
"(Refurbished) Dell Optiplex 7040 Mini PC (Intel Core i5 6th gen, 16 GB DDR4 RAM, 512 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB, Ethernet,DP), Black","₹11,830","49,999",500+ bought in past month,3.6 out of 5 stars 212
"(Refurbished) Dell Optiplex High Performance Desktop Computer (Intel Core i5 3470/ 16 GB RAM/ 1 TB HDD + 256 GB SSD/ Windows 10 Pro/ MS Office/ Intel HD Graphics/ USB/ Ethernet/WiFi), Black","₹10,899","76,000",100+ bought in past month,4.0 out of 5 stars 183
"(Renewed) Lenovo ThinkCentre M92p Desktop (Core i5-2400/8 GB/500 GB HDD/Windows/MS Office/Intel HD Graphics 2000), Black","₹5,358","78,000",200+ bought in past month,"3.5 out of 5 stars 1,178"
"(Refurbished) Lenovo ThinkCentre M93P Mini PC (Intel Core i5 4th gen, 8 GB RAM, 256 GB SSD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black","₹7,499","69,999",,3.9 out of 5 stars 301
"All-in-One PC Intel Pentium J5040 21.5-inch(54.6 cm) FHD Three-Sided Micro-Edge Display(8GB RAM/512GB SSD/Intel UHD Graphics/Win 11 Home/Wired Keyboard and Mouse Combo/MS Office)22-dd2686in, White","₹30,990","42,152",200+ bought in past month,4.1 out of 5 stars 69
(Refurbished) Lenovo Thinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|8 Gb Ddr4 Ram|512 Gb Ssd|Wifi|Windows 11|Ms Office)Black,"₹10,349","29,999",200+ bought in past month,3.8 out of 5 stars 715
"(Refurbished) Lenovo ThinkCentre M92p Desktop Mini PC (Intel Core i5 3rd Gen, 8 GB RAM, 256 GB SSD, WiFi, Windows 10 Pro, MS Office, Intel HD Graphics, USB, DP)","₹6,980","89,999",200+ bought in past month,4.1 out of 5 stars 54
"Lenovo (Renewed) Thinkcentre M700 Desktop Mini Pc (Intel Core I3 6Th Gen,8 Gb Ddr4 Ram,256 Gb Ssd,Wifi,Windows 11,Ms Office,Intel Hd Graphics,Usb,Dp)Black","₹8,039","79,999",100+ bought in past month,3.8 out of 5 stars 360
AUSEK® Android 10 Dual WiFi 2.4/5 Ghz H616 4K 4GB Ram 32GB ROM Android Mini PC Box,"₹3,399","4,499",,
