Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"LG 22Mp68Vq 22 Inch (55 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Dvi, Audio Out Ports (Black)","₹6,999","14,250",Price and other details may vary based on product size and colour.,"4.4 out of 5 stars 8,922"
"LG 22Mp68Vq 22 Inch (55 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Dvi, Audio Out Ports (Black)","₹6,999","14,250",200+ bought in past month,"4.4 out of 5 stars 8,922"
"LG 31.5 (80.01cm) QHD (2560x1440) IPS Monitor with AMD FreeSync, HDR 10, Color Calibrated (32QN650), Black","₹24,999","36,000",,3.9 out of 5 stars 45
"LG 29"" (73CM) UltraWide™ WFHD LCD 2560 X 1080 Pixels IPS Display Monitor - HDR 10, AMD Freesync, Inbuilt 5W Speaker, Srgb 99%, Multi Tasking Monitor, Hdmi X 2-29WL50S (Black)","₹17,999","29,999",50+ bought in past month,4.3 out of 5 stars 387
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black","₹10,999","29,999",500+ bought in past month,"3.8 out of 5 stars 1,366"
"Samsung 24-Inch(59.8Cm) Fhd, 75 Hz, 1800R Curved 1,920 X 1,080 LED Monitor, Va Panel, Slim Design, AMD Freesync, Game Mode, Flicker Free, Hdmi, Audio Port (Ls24C360Eawxxl, Black)","₹7,299","15,700",500+ bought in past month,"4.4 out of 5 stars 7,882"
"Samsung 24-inch (60.46cm) FHD Flat 1,920 x 1,080 Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LS24C310EAWXXL, Black)","₹7,899","15,400",500+ bought in past month,"4.3 out of 5 stars 4,408"
"Acer EK240Y H 23.8 Inch (60.4 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 1 MS VRB, 100Hz Refresh Rate I 250 Nits I HDMI & VGA Ports with HDMI Cable I Eye Care Features (Black)","₹6,444","9,250",500+ bought in past month,"4.3 out of 5 stars 1,587"
"ZEBRONICS 24 Inch (60.4 Cm) Widescreen 1920 X 1080 Pixels LED Monitor, IPS, Ultra Slim, FHD 1920x1080, HDMI, VGA, 250nits, Built in Speaker, Wall mountable, 75hz ZEB-A24FHD, Black","₹6,499","24,999",500+ bought in past month,"3.7 out of 5 stars 1,355"
"LG Electronics 60 cm/24 inches Full HD IPS 1920 x 1080 Pixels LCD Monitor, Inbuilt Speaker, HDMI x 2, VGA Port, 75 Hz Refresh Rate, AMD Freesync, 3 Side Borderless Slim Design - 24ML600S-W (White)","₹8,849","18,000",500+ bought in past month,"4.4 out of 5 stars 3,378"
