Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","₹4,299","6,999",100+ bought in past month,"4.0 out of 5 stars 1,285"
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","₹4,299","6,999",100+ bought in past month,"4.0 out of 5 stars 1,285"
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],₹332,899,100+ bought in past month,"4.0 out of 5 stars 2,337"
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"₹4,199","6,999",200+ bought in past month,"3.9 out of 5 stars 13,788"
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,"₹1,899","2,199",10K+ bought in past month,"4.2 out of 5 stars 153,886"
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)","₹1,599","2,499",5K+ bought in past month,"4.3 out of 5 stars 20,540"
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)","₹1,199","2,199",5K+ bought in past month,"4.2 out of 5 stars 153,886"
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More","₹2,939","3,499",3K+ bought in past month,"4.2 out of 5 stars 1,362"
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Dark Green)","₹1,299","2,999",3K+ bought in past month,4.0 out of 5 stars 90
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Green)","₹1,599","2,499",2K+ bought in past month,"4.0 out of 5 stars 24,548"
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","₹1,599","2,499",2K+ bought in past month,"4.0 out of 5 stars 24,548"
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",₹899,"1,599",3K+ bought in past month,"3.8 out of 5 stars 14,201"
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Carbon Black)",₹999,"2,999",700+ bought in past month,
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","₹1,129","1,999",200+ bought in past month,"3.7 out of 5 stars 2,718"
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","₹2,199","3,499",100+ bought in past month,"4.2 out of 5 stars 5,477"
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","₹2,299","2,999",600+ bought in past month,"4.1 out of 5 stars 5,515"
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",₹999,"2,999",1K+ bought in past month,"3.9 out of 5 stars 13,788"
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","₹2,299","3,499",,"2.9 out of 5 stars 1,604"
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh Slim Power Bank, USB C/Micro USB Input, Dual USB A Output, Compatible with iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel 7 Oneplus (Black-P10)",₹499,"1,799",1K+ bought in past month,"3.7 out of 5 stars 1,831"
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),"₹2,199","4,999",1K+ bought in past month,"4.2 out of 5 stars 3,823"
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Blue)",₹899,"1,599",1K+ bought in past month,"3.8 out of 5 stars 14,201"
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),"₹1,199","2,199",1K+ bought in past month,"4.2 out of 5 stars 153,886"
"pTron Dynamo 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB & Multiple Layers of Protection (Blue)",₹799,"3,199",700+ bought in past month,4.2 out of 5 stars 537
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",₹899,"1,599",1K+ bought in past month,"3.8 out of 5 stars 14,201"
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Cobalt Blue-P10)",₹499,"1,799",700+ bought in past month,"3.7 out of 5 stars 1,831"
"Spigen 3in1 10000mAh Wireless Charging Power Bank with USB-A | USB-C 20W Fast Charging, Included USB-A to USB-C Cable, Lithium Polymer - Black","₹2,099","3,999",700+ bought in past month,"3.9 out of 5 stars 4,152"
"Ambrane Mini Power Bank for iPhone 15, 14, 13, 12 Series for Emergency use, Strong Magnetic Wireless Power Bank, Ultra Slim Design, Compatible with MagSafe Covers (Aerosync PB5, Purple)","₹1,799","2,499",700+ bought in past month,3.8 out of 5 stars 37
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),"₹2,199","4,999",1K+ bought in past month,"4.2 out of 5 stars 3,823"
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black","₹1,799","2,999",,"4.2 out of 5 stars 39,020"
