Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
Womens 327Sneaker,"₹7,699","10,999",Price and other details may vary based on product size and colour.,4.2 out of 5 stars 43
Womens 327Sneaker,"₹7,699","10,999",,4.2 out of 5 stars 43
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),"₹3,146.50","4,495",,5.0 out of 5 stars 2
Women 500 Violet Shadow Sneakers (GW500MA2),"₹4,899","6,999",,
Jute Handcrafted Women & Girl Casual Sneaker Shoes,"₹1,999","5,498",,
Casual Sneaker Shoes for Women | Stylish and Comfortable | Lace-Up Style,"₹1,139","5,699",300+ bought in past month,3.7 out of 5 stars 20
"Women's Sneakers Comfort, Perfect Light Weight Casual White Shoes for Women & Girls",₹389,999,200+ bought in past month,5.0 out of 5 stars 2
Womens Everyday Basic Sneakers for Women | Shoes for Women | Comfortable & Lightweight | Casual Sneakers_Shoes_a1Sneaker,₹299,999,,4.1 out of 5 stars 125
Comfotable Lightweight Casual Lace-Up Sneaker for Women/Girls,₹599,999,400+ bought in past month,"3.8 out of 5 stars 1,429"
Womens LPMXT-801 Casual Clog,₹387,799,100+ bought in past month,"3.9 out of 5 stars 1,256"
"Women and Girls Sneakers, Walking Gym Running Shoes",₹429,"1,298",200+ bought in past month,"3.8 out of 5 stars 1,119"
womens Daisy Sneaker,₹386,599,100+ bought in past month,"4.1 out of 5 stars 1,227"
Womens Agile Trip WN's Idp Sneaker,"₹1,924","3,499",100+ bought in past month,4.3 out of 5 stars 343
Comfotable Lightweight Casual Lace-up Sneaker for Women/Girls,₹599,999,300+ bought in past month,"3.7 out of 5 stars 1,738"
Women's Paradise-01 White Casual Sneaker Shoes with Ultra Soft Cushion Lightweight Lace-Up Shoes for Women's & Girl's,₹639,999,200+ bought in past month,3.7 out of 5 stars 69
"Women's Melody-71 Casual Loafer,Sneaker & Moccasins Shoes with Lightweight Extra Cushion Slip-On Casual Sneaker Shoes for Women's & Girl's",₹599,699,100+ bought in past month,"3.9 out of 5 stars 3,018"
Womens SX0123L Greypink Walking Shoe - 6 UK (SX0123LGYPK0006),₹699,999,200+ bought in past month,4.3 out of 5 stars 489
Women's Zoe Plus Casual Shoes,₹749,799,100+ bought in past month,"4.0 out of 5 stars 2,403"
Women & Girls White Casual Sports Shoes Sneakers - 36 EU,₹490,999,100+ bought in past month,"3.8 out of 5 stars 1,741"
Womens Winter Daisy Sneaker,₹371,599,100+ bought in past month,4.0 out of 5 stars 911
Sneakers for Women,₹599,999,200+ bought in past month,3.9 out of 5 stars 560
Jute Handcrafted Women & Girl Casual Sports Shoes Sneaker,"₹1,999","5,498",,2.0 out of 5 stars 1
Unisex 530 Mercury Blue Sneakers (MR530CI_New),"₹8,399","11,999",,5.0 out of 5 stars 2
Women's Handcrafted Vegan Leather Brown Mysore Garden Knotted Mule,"₹1,349","3,499",,
Women's Pacer Wn s IDP Sneaker,"₹1,555","3,299",,"4.0 out of 5 stars 1,410"
Women White Stylish Casual Sneakers,₹472,999,100+ bought in past month,4.0 out of 5 stars 343
Women CARA Knit Red Casual Shoes,₹557,899,100+ bought in past month,4.1 out of 5 stars 373
Women's Lightweight Athleisure Knitted Active Wear Slip-On Casual Shoes,₹782,"2,699",100+ bought in past month,4.1 out of 5 stars 733
Womens SX0123L Greypink Walking Shoe - 5 UK (SX0123LGYPK0005),₹699,999,100+ bought in past month,4.2 out of 5 stars 437
Women's Printed Softy Walking Shoe,₹314,499,100+ bought in past month,3.6 out of 5 stars 184
Comfotable Lightweight Casual Sneaker for Women/Girls,₹699,999,200+ bought in past month,4.1 out of 5 stars 136
"Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",₹699,999,100+ bought in past month,"4.1 out of 5 stars 3,722"
