Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
Men's Trekking Shoe,"₹1,424","2,999",Price and other details may vary based on product size and colour.,"4.0 out of 5 stars 1,136"
Men's Trekking Shoe,"₹1,424","2,999",,"4.0 out of 5 stars 1,136"
Trendy & Stylish Shoes for Men| Sports Shoes for Men | Sneakers for Men,₹379,999,,3.0 out of 5 stars 2
SNOWBALL 6 inches Moto Inspired Mountaineering Backpacking Hiking/Trekking outdoor boots for men for Beginners,"₹1,424","2,999",,4.0 out of 5 stars 348
Stylish and Comfortable Shoes for Men,"₹1,349","1,499",,
"Sneaker Casual Shoes for Men | Soft Cushion Insole, Slip-Resistance, Dynamic Feet Support & Arch Support","₹1,079","5,399",1K+ bought in past month,"4.1 out of 5 stars 1,392"
Men Black Walking Shoes,"₹1,379","6,899",700+ bought in past month,3.9 out of 5 stars 704
Unisex Adult Navy/Pepper LiteRide 360 Clog 206708-4CC-M9W11,"₹2,699","5,992",,4.2 out of 5 stars 209
Men's Walking Shoes,₹899,"4,499",800+ bought in past month,"4.2 out of 5 stars 1,036"
Mens Boss-Grip Uniform Dress Shoe,₹625,999,,"3.7 out of 5 stars 4,806"
Men's Sfg-68 Slipper,₹256,329,1K+ bought in past month,"4.2 out of 5 stars 44,695"
Casual Sneaker Shoes for Men | Enhanced Comfort with Cushioned Insole and Slip-Resistant,"₹1,119","5,599",600+ bought in past month,"4.1 out of 5 stars 1,331"
"Casual Sneaker Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,599","7,999",300+ bought in past month,3.9 out of 5 stars 11
Men's Wonder-13 Sports Running Shoes…,₹599,699,1K+ bought in past month,"3.9 out of 5 stars 94,734"
OXYFIT (N) Men's Running Shoes,₹999,,,"4.1 out of 5 stars 37,843"
"Mens Boss-Slick Formal Shoes, (8516051), Black",₹688,999,700+ bought in past month,"3.8 out of 5 stars 2,121"
Unisex Adult Navy/Pepper LiteRide 360 Clog 206708-4CC-M8W10,"₹2,699","5,995",400+ bought in past month,4.0 out of 5 stars 179
Mens Sx0675gRunning Shoe,₹699,999,900+ bought in past month,"4.1 out of 5 stars 11,140"
Mens Atlantis Running,₹699,"1,299",700+ bought in past month,"3.9 out of 5 stars 1,136"
Men's Classic Ultra Soft Sliders/Slippers with Cushion FootBed for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Everyday Flip Flops for Gents/Boys D-504,₹599,"1,799",500+ bought in past month,4.3 out of 5 stars 385
Men's Sf0014g Flip-Flop,₹264,399,500+ bought in past month,"4.1 out of 5 stars 46,344"
Men Formal Shoes,₹609,"1,399",,"3.7 out of 5 stars 2,525"
EZPlay Men's Walking Shoes | Comfortable Lightweight Slip-on with Breathable Air Mesh | All-Day Casual Wear Sneakers,"₹1,349","2,299",,3.8 out of 5 stars 25
"Men's HUNTER 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip, Water Proof, Anti-Fatigue, Comfortable & Light weight","₹1,424","2,499",100+ bought in past month,"3.9 out of 5 stars 1,247"
Men's HUNTER 2.0 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip,"₹1,424","2,999",,3.9 out of 5 stars 439
Men's Flip Flops Thong Slippers,₹306,499,700+ bought in past month,"3.9 out of 5 stars 47,622"
Mens Aaron Derby E 23 Derby,"₹1,665","3,299",300+ bought in past month,4.3 out of 5 stars 118
"Mens WAVER Slippers, Grey, (8772633)",₹198,299,700+ bought in past month,4.0 out of 5 stars 926
mens Jazz Beige Casual Shoe - 7 UK (8596188),₹312,399,500+ bought in past month,3.6 out of 5 stars 426
Mens Extreme Leather Running Shoe,"₹1,699",,400+ bought in past month,"4.0 out of 5 stars 3,555"
Mens Boss-ace Uniform Dress Shoe,₹625,799,500+ bought in past month,"3.6 out of 5 stars 5,186"
Orthopedic Slippers | Acupressure Slippers | Flip-Flops | For Men & Women's Slippers,₹399,495,,4.0 out of 5 stars 542
Mens Sd0439gCasual Shoe,₹594,849,700+ bought in past month,"4.2 out of 5 stars 13,297"
mens Alfred Th Slipper,₹247,399,400+ bought in past month,3.8 out of 5 stars 770
Unisex Adult Navy/Pepper LiteRide 360 Clog 206708-4CC-M7W9,"₹2,699","5,995",200+ bought in past month,4.0 out of 5 stars 81
"Grey Sports Shoes for Men's- Lace-Up Shoes, Perfect Walking & Running Shoes for Men","₹2,009","6,699",400+ bought in past month,"4.0 out of 5 stars 1,335"
Men's Gd 1033111nw Sandal,"₹2,037","3,395",200+ bought in past month,3.8 out of 5 stars 788
"Casual Sneaker Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,579","7,899",,3.4 out of 5 stars 12
Mens Trek Sneaker,₹494,799,300+ bought in past month,4.1 out of 5 stars 746
Mike (N) Men's Running Shoes,₹849,"1,699",300+ bought in past month,"3.9 out of 5 stars 3,880"
Men's Dazzler Sneakers,"₹1,403","3,999",500+ bought in past month,"4.0 out of 5 stars 4,838"
unisex-adult LiteRide Clog Black/Slate Grey Clog - 9 UK Men/ 10 UK Women (M10W12) (206708-0DD),,,300+ bought in past month,4.1 out of 5 stars 845
unisex-adult LiteRide Clog Black/Slate Grey Clog - 8 UK Men/ 9 UK Women (M9W11) (206708-0DD),"₹3,879","5,995",,4.1 out of 5 stars 869
Men's Black Mesh Outdoor Casual Shoes,₹269,999,,3.0 out of 5 stars 619
Mens City-rideRunning Shoe Sport Shoe,"₹1,009","1,699",400+ bought in past month,"3.7 out of 5 stars 2,976"
mens Boss-slick Black Uniform Dress Shoe - 8 UK (8516451),₹671,999,300+ bought in past month,3.8 out of 5 stars 861
Mens Max Formal Shoes (8316671) Black,₹867,"1,299",,"3.6 out of 5 stars 1,245"
mens Ss0101g Sandals,₹636,849,400+ bought in past month,"4.2 out of 5 stars 28,066"
Mens Denim Sneaker,₹459,799,300+ bought in past month,"3.9 out of 5 stars 2,158"
Mens Fluidglow M Sneaker,"₹1,919","4,299",300+ bought in past month,"3.9 out of 5 stars 1,879"
mens F.LITE Red Slipper - 8 UK (8765579),₹377,599,200+ bought in past month,4.1 out of 5 stars 554
Flash Shoe Badminton Shoes for Men,₹899,"1,120",400+ bought in past month,"4.0 out of 5 stars 11,196"
Men's Trophy Running Shoes,₹720,"1,499",,"3.7 out of 5 stars 2,429"
"Unisex Slippers | Hawai Chappal Rubber Flip Flops Slippers, Acupressure, Comfortable & Ultra-Light, Waterproof Non-Slip Thong",₹139,399,200+ bought in past month,4.0 out of 5 stars 364
"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,539","7,699",,5.0 out of 5 stars 5
Men's First Running Shoes,"₹1,119","1,899",,"3.9 out of 5 stars 10,807"
Men Sneakers,"₹1,864","2,995",,"4.0 out of 5 stars 1,036"
Tiny Leather Safety Shoes,"₹1,549","2,299",,3.4 out of 5 stars 19
Ske Eco-Sole Sneakers | Women | Biodegradable,"₹2,750","4,230",,
Ske Eco-Sole Sneakers | Men | Biodegradable,"₹2,750","4,230",,
ACME Men'sAlloy Leather Safety Shoes Black (Size - ACME006_40),"₹1,595","2,299",,3.3 out of 5 stars 25
Trendy & Stylish Shoes for Men| Sports Shoes for Men | Sneakers for Men,₹379,999,Price and other details may vary based on product size and colour.,3.0 out of 5 stars 2
Trendy & Stylish Shoes for Men| Sports Shoes for Men | Sneakers for Men,₹379,999,,3.0 out of 5 stars 2
Men's Trekking Shoe,"₹1,424","2,999",,"4.0 out of 5 stars 1,136"
Stylish and Comfortable Shoes for Men,"₹1,349","1,499",,
"Men's HUNTER 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip, Water Proof, Anti-Fatigue, Comfortable & Light weight","₹1,424","2,499",50+ bought in past month,"3.9 out of 5 stars 1,247"
Mens Drogo M Running Shoe,"₹1,349","2,999",,"4.1 out of 5 stars 12,639"
mens Jazz Beige Casual Shoe - 10 UK (8596188),₹310,499,300+ bought in past month,3.7 out of 5 stars 370
Men's Maxico Running Shoes,₹949,"1,299",600+ bought in past month,"3.9 out of 5 stars 25,896"
Men's North Plus Running Shoes,"₹1,119","1,899",,"3.9 out of 5 stars 9,692"
Mens CoarseRunning Shoe,"₹1,519","4,999",,4.0 out of 5 stars 361
Unisex-Adult Wired Rapid Running Shoe,"₹1,819","5,499",100+ bought in past month,3.9 out of 5 stars 201
Mens Sd0734g Sneaker,₹721,849,400+ bought in past month,"4.1 out of 5 stars 2,676"
Men Aaron Derby Formal Shoes,"₹1,665","3,299",100+ bought in past month,"3.8 out of 5 stars 2,359"
Men's Rover Comfortable Clogs || Sandals with Adjustable Back Strap for Men,₹839,"2,699",200+ bought in past month,"3.9 out of 5 stars 2,215"
Mens Taylor Slip on EUniform Dress Shoe,"₹2,138","4,999",200+ bought in past month,3.6 out of 5 stars 200
Mens Run Steady M Running Shoe,"₹2,069","5,299",100+ bought in past month,4.0 out of 5 stars 976
Mens Terminator (N) Running Shoes,"₹1,299","1,799",100+ bought in past month,"3.8 out of 5 stars 2,746"
Mens OGC 3608119 Sneaker,"₹2,103","3,895",100+ bought in past month,4.0 out of 5 stars 880
Mens Astoundrun MRunning Shoe,"₹1,480.25","3,799",200+ bought in past month,3.9 out of 5 stars 165
Mens Rodeo ProRunning Shoe,₹799,"1,299",300+ bought in past month,"4.0 out of 5 stars 16,344"
Mens Grip-remo-ss17 M4Uniform Dress Shoe,₹621,999,200+ bought in past month,3.8 out of 5 stars 45
Men Formal Shoes,₹609,"1,399",,"3.7 out of 5 stars 2,525"
EZPlay Men's Walking Shoes | Comfortable Lightweight Slip-on with Breathable Air Mesh | All-Day Casual Wear Sneakers,"₹1,349","2,299",,3.8 out of 5 stars 25
Men's HUNTER 2.0 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip,"₹1,424","2,999",,3.9 out of 5 stars 439
ACME Men'sAlloy Leather Safety Shoes Black (Size - ACME006_40),"₹1,595","2,299",,3.3 out of 5 stars 25
Men's Derby Shoes,"₹1,379","6,899",,3.5 out of 5 stars 256
mens Mesh Mushy,₹370,599,300+ bought in past month,"3.8 out of 5 stars 2,543"
Men's Clinch-X M Running Shoe,"₹1,299","2,999",100+ bought in past month,"4.0 out of 5 stars 4,951"
Men's King PRO Walking Shoes,₹849,"1,099",,"4.0 out of 5 stars 2,644"
"Mens Shrek Tr Sandals, (8714938)",₹556,899,200+ bought in past month,3.9 out of 5 stars 731
Men's Ss0453g Sandal,₹664,999,300+ bought in past month,"4.0 out of 5 stars 31,093"
Men's Samule Slipper,₹341,549,100+ bought in past month,3.3 out of 5 stars 132
Men's Alfred Th Slipper,₹247,399,200+ bought in past month,3.9 out of 5 stars 428
Men's Tarzan-11 White Casual Sneaker High-Neck Shoes with Lightweight Extra Cushion Lace-Up Shoes for Men's & Boy's…,₹759,999,300+ bought in past month,3.7 out of 5 stars 409
Men's Koko-Ln Slipper,₹247,399,300+ bought in past month,4.2 out of 5 stars 635
Mens Robust V2Running Shoe,"₹1,519","4,499",200+ bought in past month,3.8 out of 5 stars 176
Slippers For Women Men Winter Sandals Casual Flats Home Footwear Man Girls Sliders Flip Flops Chappals Ladies Clogs Sleeper Slides Stylish Ortho Soft,₹398,"1,420",200+ bought in past month,3.6 out of 5 stars 37
Casual Sneaker Shoes for Men | Stylish and Comfortable,"₹1,679","5,599",400+ bought in past month,4.0 out of 5 stars 532
Men's Fortuner Sport Sandal,₹262,329,100+ bought in past month,4.0 out of 5 stars 253
"Men Slipper Orthopedic Super Soft, Lightweight and Comfortable Flip Flops for Home Daily Use",₹289,699,100+ bought in past month,"4.1 out of 5 stars 1,560"
Mens Sa 05 EFormal Shoes,₹868,"1,699",200+ bought in past month,4.0 out of 5 stars 25
Men's Driver,₹371,599,,3.1 out of 5 stars 508
Cleaning Shampoo for Sports Shoes Sneakers and canvas I Stain Remover Shoe ShampooI 150 ML,₹379,399,300+ bought in past month,4.1 out of 5 stars 622
Mens Sx0676gRunning Shoe,₹979,"1,399",200+ bought in past month,3.9 out of 5 stars 691
Men's Lightweight Classic Clogs || Sandals with Adjustable Back Strap for Men,₹449,999,200+ bought in past month,"3.9 out of 5 stars 2,036"
Mens Shuttle Walking Shoe,₹649,"1,099",300+ bought in past month,"4.0 out of 5 stars 1,010"
"Men's Synthetic Sports,Running,Casual Loafer Shoes for Boy's",₹649,999,300+ bought in past month,"3.8 out of 5 stars 16,729"
Mens Carlos Formal Shoes,₹599,"1,699",200+ bought in past month,"3.8 out of 5 stars 4,126"
Mens Abor Sneakers,"₹1,681","2,999",200+ bought in past month,"3.6 out of 5 stars 3,932"
mens Xpress Slipper,₹359,999,200+ bought in past month,"4.0 out of 5 stars 1,908"
"BAERFIT Anti-Wrinkle Shoes Toe Box Defloder Shoes Flod Protectors Flod Guards for Sneakers and Casual Shoes, Shoes Protector from Wrinkle Shoe Fold Protector (Men (Large))",₹139,220,200+ bought in past month,4.3 out of 5 stars 41
Mens Boston Slipon E 23Sneaker,"₹1,766","3,499",100+ bought in past month,3.9 out of 5 stars 63
Mens Revolution Tr Track and Field Shoe,"₹1,029","2,299",200+ bought in past month,"4.1 out of 5 stars 1,046"
Unisex-Child Bayaband Clog Clog,"₹2,473","4,495",600+ bought in past month,"4.2 out of 5 stars 25,546"
Mens Ronald Slipper,₹216,349,100+ bought in past month,3.6 out of 5 stars 357
mens Stricker E Sandal,₹392,699,100+ bought in past month,"4.0 out of 5 stars 4,806"
Unisex-Adult Geo Slide,₹811,"2,499",200+ bought in past month,"4.0 out of 5 stars 1,271"
Tiny Leather Safety Shoes,"₹1,549","2,299",,3.4 out of 5 stars 19
SNOWBALL 6 inches Moto Inspired Mountaineering Backpacking Hiking/Trekking outdoor boots for men for Beginners,"₹1,424","2,999",,4.0 out of 5 stars 348
Ske Eco-Sole Sneakers | Women | Biodegradable,"₹2,750","4,230",,
Ske Eco-Sole Sneakers | Men | Biodegradable,"₹2,750","4,230",,
"Men's HUNTER 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip, Water Proof, Anti-Fatigue, Comfortable & Light weight","₹1,424","2,499",Price and other details may vary based on product size and colour.,"3.9 out of 5 stars 1,247"
"Men's HUNTER 6 inches Hiking/Snow boots for men for outdoor Trekking - non slip, Water Proof, Anti-Fatigue, Comfortable & Light weight","₹1,424","2,499",50+ bought in past month,"3.9 out of 5 stars 1,247"
Men's Trekking Shoe,"₹1,424","2,999",,"4.0 out of 5 stars 1,136"
Men Formal Shoes,₹609,"1,399",,"3.7 out of 5 stars 2,525"
Trendy & Stylish Shoes for Men| Sports Shoes for Men | Sneakers for Men,₹379,999,,3.0 out of 5 stars 2
"Walking Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,059","5,299",100+ bought in past month,4.1 out of 5 stars 608
Men's Sf0549s Slipper,₹279,374.50,100+ bought in past month,"4.1 out of 5 stars 2,148"
"Men's Everest-01 Sports Trekking & Hiking,Walking Shoes with Rubber Outsole & Memory Foam Insole Lace-Up Shoes for Men's & Boy's",₹949,"1,999",200+ bought in past month,4.1 out of 5 stars 715
Men's Classic Cushion Sliders/Slippers with Adjustable Buckle Strap for Adult | Comfortable & LightWeight |Stylish & Anti-Skid| Waterproof & Everyday Flip Flops for Gents/Boys D-505,₹549,"1,799",200+ bought in past month,4.5 out of 5 stars 196
